ha_color_label,ha_color,hsda_color_label,hsda_color
red,#e41a1c,pale red,#fee5d9
red,#e41a1c,light red,#fcae91
red,#e41a1c,medium red,#fb6a4a
red,#e41a1c,dark red,#cb181d
blue,#377eb8,pale blue,#eff3ff
blue,#377eb8,light blue,#bdd7e7
blue,#377eb8,medium blue,#6baed6
blue,#377eb8,dark blue,#2171b5
green,#4daf4a,pale green,#edf8e9
green,#4daf4a,light green,#bae4b3
green,#4daf4a,medium green,#74c476
green,#4daf4a,dark green,#238b45
purple,#984ea3,pale purple,#f2f0f7
purple,#984ea3,light purple,#cbc9e2
purple,#984ea3,medium purple,#9e9ac8
purple,#984ea3,dark purple,#6a51a3
orange,#ff7f00,pale orange,#feedde
orange,#ff7f00,light orange,#fdbe85
orange,#ff7f00,medium orange,#fd8d3c
orange,#ff7f00,dark orange,#d94701
